Test Program: 	
Tester: 	
Device Name: 	
Operator: 	IT
LOT ID: 	
Start Time: 	
Fail #: 	588
Pass #: 	8033
Total #: 	8621

Name	Site#	Bin#	X	Y	VBR	VF1	VF2	IR_40V	VF3	
Unit	N	N	N	N	V	mV	mV	uA	mV	
280	1	1	7	39	67.64	211.71	274.96	22.37	398.32	
281	1	1	7	40	67.50	212.04	274.80	22.50	398.14	
282	1	1	7	41	67.25	211.39	274.31	22.61	398.04	
283	1	1	7	42	67.19	211.55	275.12	22.62	398.42	
284	1	1	7	43	67.00	211.55	274.31	22.79	398.19	
285	1	1	7	44	66.78	211.71	274.31	22.88	398.00	
286	1	1	7	45	66.63	212.68	274.80	22.95	398.22	
287	1	1	7	46	66.45	211.22	274.80	23.27	398.24	
288	1	5	7	47	0.02	163.55	271.55	1016.03	397.30	
289	1	1	7	48	66.25	212.20	274.63	23.23	398.00	
290	1	1	7	49	66.10	211.71	274.80	23.34	397.69	
291	1	1	7	50	66.08	211.87	274.63	23.39	397.52	
292	1	1	7	51	65.95	212.36	275.12	23.56	397.64	
293	1	1	7	52	65.84	211.39	275.45	23.66	397.72	
294	1	1	7	53	65.75	211.71	275.12	23.68	397.59	
295	1	1	7	54	65.61	212.04	274.31	23.74	397.75	
296	1	1	7	55	65.58	211.39	274.31	23.89	397.35	
297	1	1	7	56	64.54	211.87	274.96	26.87	397.43	
298	1	1	7	57	65.42	212.04	275.12	24.07	397.43	
299	1	1	7	58	65.43	213.01	275.45	24.05	397.75	
300	1	1	7	59	65.42	211.39	274.96	24.06	397.88	
301	1	1	7	60	65.46	211.87	275.12	24.01	397.65	
302	1	1	7	61	65.59	211.87	274.63	23.89	398.00	
303	1	1	7	62	65.61	211.55	275.12	23.98	398.01	
304	1	1	7	63	65.78	210.90	274.31	23.61	397.69	
305	1	1	7	64	65.87	211.87	274.80	23.59	397.52	
306	1	1	7	65	66.06	211.71	274.47	23.39	397.52	
307	1	1	7	66	66.13	212.04	274.63	23.29	397.56	
308	1	1	7	67	66.25	212.04	275.12	23.06	398.16	
309	1	1	7	68	66.32	212.68	274.47	23.03	397.65	
310	1	1	7	69	64.21	212.52	274.47	37.67	397.69	
311	1	1	7	70	66.36	211.55	274.96	22.97	398.25	
312	1	1	7	71	66.41	211.71	274.96	22.88	397.95	
313	1	1	7	72	66.37	211.39	275.93	22.93	397.62	
314	1	5	7	73	0.02	154.79	270.74	1016.03	396.13	
315	1	1	7	74	66.39	212.20	275.45	23.12	398.16	
316	1	1	7	75	66.34	212.36	275.12	23.17	398.69	
317	1	1	7	76	66.28	211.55	275.61	23.17	399.28	
318	1	1	7	77	66.01	212.36	275.12	24.94	400.06	
319	1	1	7	78	66.20	211.71	274.63	23.23	401.29	
320	1	1	7	79	65.92	211.55	275.61	23.55	402.96	
321	1	1	8	24	50.18	210.09	274.15	93.82	406.86	
322	1	1	8	25	72.70	210.90	274.31	20.51	402.77	
323	1	1	8	26	72.32	211.55	275.12	20.38	402.41	
324	1	1	8	27	71.43	211.71	274.63	20.61	401.47	
325	1	1	8	28	70.69	211.71	274.80	20.80	401.00	
326	1	1	8	29	69.72	212.36	274.47	21.25	400.45	
327	1	1	8	30	69.27	211.71	275.12	21.59	400.53	
328	1	1	8	31	68.73	211.87	274.80	21.80	400.38	
329	1	1	8	32	68.29	211.39	275.12	22.14	399.60	
330	1	1	8	33	68.06	211.39	275.45	22.38	398.95	
331	1	1	8	34	67.88	210.74	274.80	22.39	399.03	
332	1	1	8	35	67.79	211.39	275.12	22.39	399.36	
333	1	1	8	36	67.69	211.87	274.63	22.51	399.18	
334	1	1	8	37	67.60	211.71	275.12	22.58	398.27	
335	1	1	8	38	67.48	211.22	274.31	22.61	398.51	
336	1	1	8	39	67.35	211.06	274.63	22.66	397.98	
337	1	1	8	40	67.26	211.55	274.80	22.74	398.42	
338	1	1	8	41	67.05	212.04	274.63	22.83	398.81	
339	1	1	8	42	66.59	211.55	275.45	22.91	398.79	
340	1	1	8	43	66.68	211.87	274.96	23.03	398.35	
341	1	1	8	44	66.48	211.22	275.12	23.20	397.72	
342	1	1	8	45	66.32	211.87	274.96	23.30	397.83	
343	1	1	8	46	66.17	211.87	274.63	23.35	397.96	
344	1	1	8	47	66.08	211.71	275.12	23.40	397.91	
345	1	1	8	48	65.96	212.04	274.96	23.51	397.48	
346	1	1	8	49	65.83	211.87	274.96	23.93	397.82	
347	1	1	8	50	65.87	211.55	274.63	23.55	397.88	
